"Iso Number","Size","Quantity","Length","Long Description"
"FL4-S-01","3/4""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-02","3/4""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-03","3/4""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-04","3/4""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-05","3/4""","1","6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-06","3/4""","1","2'","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-07","3/4""","1","2'-1 1/2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-08","3/4""","1","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-09","3/4""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-10","3/4""","1","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-11","3/4""","1","2'-4""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-12","3/4""","1","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-13","3/4""","1","6""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-5.1-1","3/4""","1","2'-3""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"FL4-S-8.1-1","3/4""","1","2'-2""","PIPE, S/STD A-53 GRADE B ERW T.B.E."
"","1""","7","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-06","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-07","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-08","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-10","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-11","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-12","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-8.1-1","1""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"","1-1/4""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL6-S-09","1-1/4""","1","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"","2""","12","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"","2-1/2""","2","","90 ELL, THRD, 150LB, MALLEABLE IRON"
"FL4-R-8.1-1","1""","1","","TEE, THRD, 150LB, MALLEABLE IRON"
